ra dec magpsf sigmapsf jd objectId
7.678199583795885 -21.236475167349656 19.262983322143555 0.0053786188364028 2459215.7506944444 280
7.6784768631923965 -21.236274746839204 19.269115447998047 0.0053694024682044 2459215.762650463 280
7.678761367062062 -21.23607344297273 19.278177261352536 0.0054059256799519 2459215.7746064817 280
7.679028148833311 -21.23588301021517 19.28287696838379 0.0054151145741343 2459215.7865625 280
7.72277500199734 -21.22508377571373 19.447649002075195 0.0068747657351195 2459215.7506944444 816
7.723292329851063 -21.22450802505028 19.45235824584961 0.0068993642926216 2459215.762650463 816
7.723824518846129 -21.223909802426288 19.447980880737305 0.0068467142991721 2459215.7746064817 816
7.7243160924142495 -21.223300512202808 19.44758033752441 0.0070584225468337 2459215.7865625 816
7.700494104522271 -21.23755803842811 19.84190559387207 0.0081846108660101 2459215.7506944444 531
7.699942612222969 -21.23751027086032 19.830049514770508 0.0083689764142036 2459215.762650463 531
7.699403396587267 -21.2374542294054 19.862817764282223 0.0085899112746119 2459215.7746064817 531
7.698836058456615 -21.23739774144141 19.84213829040528 0.0083205038681626 2459215.7865625 531
7.7187599199476224 -21.23013178339209 19.075777053833008 0.0053378636948764 2459215.7506944444 754
7.719469949077178 -21.22993913661082 19.084041595458984 0.0053463377989828 2459215.762650463 754
7.7201953181259855 -21.229725301090667 19.086360931396484 0.0053973905742168 2459215.7746064817 754
7.720879638472522 -21.22950388074799 19.070777893066406 0.0053566661663353 2459215.7865625 754
7.717476890774319 -21.23144329741296 19.50505828857421 0.005830361507833 2459215.7506944444 106
7.717540905839686 -21.23130880760436 19.50071144104004 0.0058275680057704 2459215.762650463 106
7.717622381324198 -21.23115416737813 19.50653457641601 0.0058258450590074 2459215.7746064817 106
7.717662948669599 -21.230991019484367 19.51309394836425 0.0058492827229201 2459215.7865625 106
7.7134304979556925 -21.24544644590585 19.03754234313965 0.0045594568364322 2459215.7506944444 188
7.7134051741590275 -21.24521519575755 19.037635803222656 0.0045718546025455 2459215.762650463 188
7.713407395786515 -21.244976957638286 19.0274658203125 0.0045748157426714 2459215.7746064817 188
7.681860639756483 -21.27056892153881 19.043262481689453 0.0045330063439905 2459215.7506944444 111
